GMT TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2000-01-03,1.45790,1.48600,1.45050,1.48170,147513
2000-01-04,1.48130,1.49830,1.46060,1.49690,329067.4688
2000-01-05,1.49620,1.51230,1.49340,1.49630,252474.1719
2000-01-06,1.49610,1.51950,1.49550,1.50640,260984.5469
2000-01-07,1.50710,1.50870,1.49660,1.49920,178717.6719
2000-01-10,1.49750,1.50430,1.48240,1.49280,150349.7969
2000-01-11,1.49290,1.50980,1.49120,1.50400,348925
2000-01-12,1.50540,1.51130,1.49460,1.49950,104961.1719
2000-01-13,1.49960,1.50000,1.48200,1.48750,266658.125
2000-01-14,1.48720,1.48990,1.46690,1.46730,212759.1406
2000-01-17,1.46870,1.47320,1.46150,1.46760,329067.4688
2000-01-18,1.46730,1.47120,1.45890,1.46890,187228.0469
2000-01-19,1.46970,1.47390,1.46360,1.47070,260984.5469
2000-01-20,1.47080,1.47390,1.45390,1.47110,280842.0625
2000-01-21,1.47110,1.47880,1.44910,1.45340,99287.5938
2000-01-24,1.44340,1.45990,1.44080,1.45330,218432.7188
2000-01-25,1.45390,1.45710,1.43730,1.43800,195738.4063
2000-01-26,1.43760,1.44960,1.43730,1.44110,153186.5781
2000-01-27,1.44170,1.44340,1.41470,1.41720,329067.4688
2000-01-28,1.41710,1.42260,1.40350,1.41040,215595.9219
2000-01-31,1.41330,1.42280,1.40190,1.40340,167370.5156
2000-02-01,1.40500,1.41610,1.40060,1.40730,136165.8438
2000-02-02,1.40620,1.41420,1.40340,1.40330,116308.3281
2000-02-03,1.40270,1.43280,1.39820,1.42760,161696.9375
2000-02-04,1.42690,1.43310,1.40970,1.41480,312046.75
2000-02-07,1.41610,1.42130,1.40250,1.42100,190064.8281
2000-02-08,1.42180,1.43640,1.41290,1.42370,317720.3125
2000-02-09,1.42340,1.43940,1.42300,1.43540,133329.0625
2000-02-10,1.43580,1.43950,1.42550,1.42710,215595.9219
2000-02-11,1.42690,1.43480,1.41520,1.43180,178717.6719
2000-02-14,1.42960,1.43860,1.42290,1.42500,278005.2813
2000-02-15,1.42460,1.43750,1.42390,1.42820,99287.5938
2000-02-16,1.42830,1.43630,1.42480,1.43300,104961.1719
