GMT TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2000-01-03,102.760,104.340,102.200,104.000,132621.0313
2000-01-04,103.870,106.510,103.690,106.280,233528.3438
2000-01-05,106.290,107.730,105.670,107.570,374798.5938
2000-01-06,107.540,109.240,107.050,108.680,340201.7813
2000-01-07,108.590,109.100,107.890,108.420,363266.3125
2000-01-10,108.080,108.800,106.910,107.780,213346.8906
2000-01-11,107.710,109.650,107.710,109.500,325786.4688
2000-01-12,109.500,109.770,108.520,109.170,239294.4844
2000-01-13,109.120,109.510,108.550,108.820,305605
2000-01-14,108.860,109.220,107.090,107.060,138387.1719
2000-01-17,107.210,107.250,105.520,106.170,95141.1797
2000-01-18,106.140,107.100,105.920,107.080,340201.7813
2000-01-19,107.110,107.420,106.370,106.680,311371.125
2000-01-20,106.650,107.270,106.200,107.210,170100.8906
2000-01-21,107.210,107.240,105.220,105.660,213346.8906
2000-01-24,105.480,106.460,105.070,106.320,374798.5938
2000-01-25,106.330,106.820,105.680,106.110,291189.6563
2000-01-26,106.120,106.520,105.650,105.770,230645.2813
2000-01-27,105.790,105.950,103.490,103.880,95141.1797
2000-01-28,103.720,104.790,102.880,104.380,296955.8125
2000-01-31,104.550,105.180,103.810,104.120,308488.0625
2000-02-01,104.180,105.350,103.840,104.790,149919.4375
2000-02-02,104.770,106.130,104.460,105.540,112439.5703
2000-02-03,105.520,106.910,104.950,106.500,268125.125
2000-02-04,106.500,106.720,104.820,105.310,126854.9063
2000-02-07,105.550,106.720,105.200,106.580,328669.5313
2000-02-08,106.560,108.400,106.560,107.910,164334.7656
2000-02-09,107.870,108.460,107.270,108.170,340201.7813
2000-02-10,108.170,108.340,106.810,107.540,187399.2969
2000-02-11,107.570,108.640,107.030,107.420,141270.2344
2000-02-14,107.550,107.610,106.330,106.520,178750.0938
2000-02-15,106.520,107.330,106.140,107.090,285423.5313
2000-02-16,107.130,108.030,106.730,107.950,348851
2000-02-17,107.920,109.550,107.780,109.140,149919.4375
2000-02-18,109.180,109.820,108.590,109.130,242177.5469
2000-02-21,109.250,110.030,108.840,109.880,147036.3594
2000-02-22,109.840,111.760,109.770,111.240,224879.1406
2000-02-23,111.190,111.990,110.760,111.510,193165.4219
2000-02-24,111.480,111.820,109.480,110.490,201814.625
2000-02-25,110.400,110.550,107.210,107.500,369032.4375
2000-02-28,104.270,106.500,104.270,106.370,253709.8125
2000-02-29,106.400,107.940,105.700,106.320,337318.7188
2000-03-01,106.480,106.510,103.630,104.350,161451.7031
2000-03-02,104.270,105.130,103.270,104.000,250826.7344
2000-03-03,104.000,104.360,103.170,103.190,178750.0938
2000-03-06,103.290,103.660,102.620,103.150,149919.4375
2000-03-07,103.080,103.630,101.000,101.740,311371.125
2000-03-08,101.750,103.230,101.560,102.970,216229.9531
2000-03-09,102.930,103.360,102.230,103.010,256592.875
2000-03-10,103.050,103.220,101.940,102.410,351734.0625
2000-03-13,102.340,102.690,101.450,101.690,204697.6875
2000-03-14,101.660,102.150,100.620,101.850,132621.0313
2000-03-15,101.850,102.900,101.250,102.120,262359
2000-03-16,102.080,102.850,101.670,102.470,210463.8125
2000-03-17,102.200,103.790,102.150,103.720,213346.8906
2000-03-20,103.900,104.020,103.150,103.500,126854.9063
2000-03-21,103.410,103.870,102.630,102.610,279657.4063
2000-03-22,102.580,103.000,102.220,102.860,314254.1875
2000-03-23,102.870,104.440,102.840,104.190,204697.6875
2000-03-24,104.230,104.900,103.510,104.440,366149.375
2000-03-27,104.400,104.580,102.940,103.250,351734.0625
2000-03-28,103.250,103.320,101.540,101.580,273891.2813
2000-03-29,101.590,101.800,100.060,100.550,279657.4063
2000-03-30,100.750,101.450,100.040,101.350,230645.2813
2000-03-31,101.340,102.020,97.450,98.030,334435.6563
2000-04-03,98.810,100.720,98.290,100.090,328669.5313
2000-04-04,100.050,101.800,100.040,101.120,308488.0625
2000-04-05,101.230,101.970,100.750,100.740,178750.0938
2000-04-06,100.670,101.290,100.070,100.350,230645.2813
2000-04-07,100.380,101.270,100.130,100.580,294072.7188
2000-04-10,100.580,102.610,100.480,102.440,196048.4844
2000-04-11,102.440,103.160,102.280,102.480,112439.5703
2000-04-12,102.430,102.790,100.650,101.420,247943.6719
2000-04-13,101.410,101.560,100.610,100.830,219113.0156
2000-04-14,100.820,101.290,100.050,101.080,198931.5469
2000-04-17,100.410,101.230,99.160,99.510,210463.8125
2000-04-18,99.500,99.570,98.160,98.850,296955.8125
2000-04-19,98.840,99.440,98.110,98.500,360383.25
2000-04-20,98.550,99.290,98.080,99.140,196048.4844
2000-04-21,99.220,99.370,98.800,99.260,138387.1719
2000-04-24,99.230,99.470,98.950,99.200,265242.0625
2000-04-25,99.190,99.350,97.140,97.880,103790.375
2000-04-26,97.820,98.400,96.970,98.130,224879.1406
