GMT TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2000-01-03,2.33700,2.37220,2.33120,2.36750,18901.9824
2000-01-04,2.36680,2.38170,2.35990,2.37780,16704.0762
2000-01-05,2.37830,2.39090,2.37400,2.38220,10989.5244
2000-01-06,2.38140,2.40540,2.37940,2.40370,11429.1055
2000-01-07,2.40450,2.40770,2.38450,2.38670,7326.3496
2000-01-10,2.38610,2.39350,2.37570,2.38350,19195.0352
2000-01-11,2.38310,2.40370,2.38100,2.39880,15238.8066
2000-01-12,2.40000,2.40460,2.39090,2.39590,14359.6445
2000-01-13,2.39450,2.39700,2.38060,2.38850,7326.3496
2000-01-14,2.38930,2.39150,2.36710,2.36900,15385.334
2000-01-17,2.37070,2.37860,2.36460,2.36750,18022.8203
2000-01-18,2.36680,2.37920,2.36460,2.37460,10256.8896
2000-01-19,2.37530,2.38980,2.37300,2.38830,14652.6992
2000-01-20,2.38840,2.39870,2.37600,2.39250,6154.1338
2000-01-21,2.39180,2.39830,2.37070,2.37650,12308.2676
2000-01-24,2.37100,2.38830,2.36840,2.38600,19341.5625
2000-01-25,2.38700,2.38740,2.36130,2.36260,6593.7144
2000-01-26,2.36270,2.36970,2.35220,2.35810,18608.9277
2000-01-27,2.36080,2.36120,2.34220,2.35140,18755.4551
2000-01-28,2.35160,2.35240,2.32540,2.34210,16704.0762
2000-01-31,2.34750,2.35250,2.33410,2.33820,18901.9824
2000-02-01,2.34000,2.34860,2.32880,2.33870,12015.2129
2000-02-02,2.33920,2.34220,2.31190,2.31250,11429.1055
2000-02-03,2.31100,2.31660,2.29150,2.30290,17729.7656
2000-02-04,2.30340,2.31070,2.28390,2.29260,19341.5625
2000-02-07,2.28910,2.31650,2.28800,2.31470,17583.2383
2000-02-08,2.31480,2.33440,2.31150,2.32790,13333.9561
2000-02-09,2.32620,2.33630,2.32070,2.33520,7033.2954
2000-02-10,2.33530,2.34090,2.32410,2.33280,14213.1182
2000-02-11,2.32990,2.33380,2.30520,2.30960,15531.8613
2000-02-14,2.30980,2.31590,2.30400,2.31160,8058.9844
2000-02-15,2.31190,2.33010,2.30790,2.32430,19195.0352
2000-02-16,2.32450,2.34060,2.31780,2.33520,7179.8223
2000-02-17,2.33570,2.34420,2.32880,2.33270,18901.9824
2000-02-18,2.33340,2.33680,2.31280,2.32360,9231.2002
2000-02-21,2.32070,2.32950,2.31790,2.32860,15971.4414
2000-02-22,2.32810,2.36410,2.32690,2.35660,10110.3623
2000-02-23,2.35740,2.36500,2.34130,2.34160,8791.6191
2000-02-24,2.34080,2.34850,2.32620,2.32610,19341.5625
2000-02-25,2.32690,2.33340,2.30370,2.30890,10549.9434
2000-02-28,2.30780,2.32560,2.29940,2.31690,5421.4985
2000-02-29,2.31600,2.32690,2.28650,2.29020,12015.2129
2000-03-01,2.28920,2.30440,2.27550,2.29850,17876.293
2000-03-02,2.29760,2.30240,2.29020,2.29620,5421.4985
2000-03-03,2.29690,2.30100,2.28800,2.28890,14213.1182
2000-03-06,2.28930,2.29880,2.27980,2.28870,13627.0098
2000-03-07,2.28850,2.29970,2.28090,2.29930,10256.8896
2000-03-08,2.29950,2.31710,2.29300,2.30190,7326.3496
2000-03-09,2.30270,2.30710,2.29740,2.30410,13187.4287
2000-03-10,2.30700,2.30740,2.29340,2.29790,14506.1719
2000-03-13,2.29830,2.31010,2.29580,2.30710,14359.6445
2000-03-14,2.30880,2.31190,2.28950,2.31030,15971.4414
2000-03-15,2.31040,2.31260,2.30050,2.30690,10256.8896
2000-03-16,2.30930,2.32370,2.30080,2.32090,12161.7402
2000-03-17,2.32090,2.32520,2.31070,2.31400,5568.0254
2000-03-20,2.31670,2.31750,2.29920,2.30410,14652.6992
2000-03-21,2.30430,2.31420,2.30090,2.30950,19048.5078
2000-03-22,2.30990,2.32310,2.29380,2.32050,15238.8066
2000-03-23,2.32180,2.34410,2.31560,2.33090,16997.1309
2000-03-24,2.33040,2.33550,2.32510,2.33230,11868.6865
2000-03-27,2.32900,2.34010,2.31050,2.31420,6007.6064
2000-03-28,2.31530,2.31740,2.30490,2.30970,5128.4448
2000-03-29,2.31030,2.32920,2.30160,2.32030,6593.7144
2000-03-30,2.32190,2.32640,2.31540,2.31970,5421.4985
2000-03-31,2.32090,2.32630,2.30590,2.30540,9524.2539
2000-04-03,2.30760,2.32470,2.30190,2.31500,9670.7813
2000-04-04,2.31540,2.33810,2.31010,2.31230,15824.915
2000-04-05,2.31260,2.32360,2.29460,2.29750,16997.1309
2000-04-06,2.29830,2.30700,2.29140,2.29540,17143.6582
2000-04-07,2.29580,2.31090,2.29400,2.30160,17876.293
2000-04-10,2.30260,2.31960,2.29810,2.31780,18169.3457
2000-04-11,2.31780,2.32670,2.31270,2.32110,17143.6582
2000-04-12,2.32030,2.32660,2.31530,2.32320,8498.5654
2000-04-13,2.32400,2.33980,2.31620,2.33530,6593.7144
2000-04-14,2.33420,2.34620,2.32700,2.34470,14359.6445
2000-04-17,2.34490,2.35980,2.33640,2.34600,6007.6064
2000-04-18,2.34650,2.35630,2.33470,2.33560,12308.2676
2000-04-19,2.33500,2.34220,2.32380,2.33530,10696.4707
2000-04-20,2.33440,2.33830,2.32340,2.32890,17729.7656
2000-04-21,2.32850,2.33270,2.32500,2.32610,10110.3623
2000-04-24,2.32410,2.33440,2.32100,2.33240,4981.9175
2000-04-25,2.33260,2.33470,2.31840,2.32120,18462.4004
2000-04-26,2.32210,2.33340,2.31330,2.32580,11868.6865
2000-04-27,2.32680,2.34410,2.31980,2.32240,14213.1182
2000-04-28,2.29580,2.33070,2.29280,2.29550,8645.0928
2000-05-01,2.29910,2.30830,2.29500,2.29700,12747.8477
2000-05-02,2.29760,2.32250,2.29710,2.31900,12894.375
