GMT TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2000-01-03,164.710,166.540,164.260,166.010,49755.7617
2000-01-04,165.990,169.140,165.490,168.810,60639.8359
2000-01-05,168.880,171.540,168.380,171.340,22804.7246
2000-01-06,171.160,173.850,170.730,173.370,49237.4727
2000-01-07,173.250,173.800,172.110,172.560,58048.3906
2000-01-10,172.330,172.560,170.650,171.980,31615.6406
2000-01-11,171.900,174.930,171.900,174.430,19176.7012
2000-01-12,174.460,175.070,173.790,174.450,64786.1484
2000-01-13,174.240,175.140,173.570,174.680,40426.5586
2000-01-14,174.730,175.190,172.550,172.870,51310.6289
2000-01-17,172.980,173.130,170.810,171.240,65304.4375
2000-01-18,171.190,173.080,171.040,173.020,37316.8242
2000-01-19,173.020,173.860,172.730,173.150,43018.0039
2000-01-20,173.150,174.680,172.850,174.370,35761.9531
2000-01-21,174.370,174.720,172.500,172.790,18140.1211
2000-01-24,173.240,174.950,172.560,174.460,32133.9297
2000-01-25,174.600,175.100,173.780,174.350,57530.1016
2000-01-26,174.270,174.590,172.980,173.100,23323.0137
2000-01-27,173.190,173.420,171.390,172.190,51828.9219
2000-01-28,172.110,173.810,169.860,173.330,40049.6211
2000-01-31,173.540,174.240,172.600,173.430,67142.0078
2000-02-01,173.490,174.310,172.940,174.180,70675.7969
2000-02-02,174.210,175.760,173.460,173.890,140173.6719
2000-02-03,173.830,174.200,170.880,171.700,63608.2188
2000-02-04,171.680,172.540,170.250,170.600,155486.7656
2000-02-07,170.750,173.800,170.510,173.690,64786.1484
2000-02-08,173.480,176.820,173.480,176.420,155486.7656
2000-02-09,176.310,176.770,174.500,176.010,114259.2109
2000-02-10,175.770,176.250,174.010,175.700,127216.4375
2000-02-11,175.550,176.150,172.870,173.270,148419.1875
2000-02-14,173.710,173.840,171.910,172.610,41227.5508
2000-02-15,172.970,174.360,172.360,174.260,42405.4805
2000-02-16,174.230,176.020,173.570,175.990,75387.5234
2000-02-17,176.020,178.180,175.660,177.750,73031.6563
2000-02-18,177.820,178.630,176.650,177.570,50650.9883
2000-02-21,177.380,178.250,176.580,178.060,154308.8281
2000-02-22,177.930,179.770,177.900,178.690,38871.6914
2000-02-23,178.620,179.180,177.570,178.250,108369.5625
2000-02-24,178.190,178.850,176.840,177.840,143707.4531
2000-02-25,178.040,178.340,175.150,175.720,137817.8125
2000-02-28,173.310,174.850,172.610,174.690,143707.4531
2000-02-29,174.940,176.740,173.300,173.930,88344.75
2000-03-01,174.050,174.430,169.180,170.070,97768.1875
2000-03-02,169.930,170.640,168.970,169.910,106013.7031
2000-03-03,169.830,170.860,169.260,169.990,57718.5703
2000-03-06,170.160,170.500,168.670,169.250,42405.4805
2000-03-07,169.090,170.190,166.700,167.800,143707.4531
2000-03-08,167.820,169.790,167.580,169.480,64786.1484
2000-03-09,169.430,170.270,167.660,168.610,83633.0313
2000-03-10,168.640,168.820,167.310,167.560,70675.7969
2000-03-13,167.570,168.110,165.870,166.600,84810.9609
2000-03-14,166.550,167.200,164.290,165.950,137817.8125
2000-03-15,165.870,167.220,164.980,166.160,55362.7109
2000-03-16,166.210,166.620,165.020,166.170,74209.5938
2000-03-17,166.070,168.130,165.870,167.920,102479.9063
2000-03-20,168.340,168.540,166.770,166.990,64786.1484
2000-03-21,166.710,168.610,166.660,167.750,41227.5508
2000-03-22,167.740,169.140,166.770,169.030,106013.7031
2000-03-23,169.020,170.630,168.760,170.160,60074.4297
2000-03-24,170.250,171.070,169.450,170.430,129572.2969
2000-03-27,170.200,171.440,169.020,169.490,106013.7031
2000-03-28,169.450,169.750,167.730,168.120,58896.5
2000-03-29,168.160,169.350,166.630,168.430,142529.5313
2000-03-30,168.450,168.750,166.700,168.200,144885.3906
2000-03-31,168.190,169.250,162.750,163.370,110725.4219
2000-04-03,164.530,168.090,163.670,167.420,53006.8516
2000-04-04,167.390,168.860,167.080,167.510,143707.4531
2000-04-05,167.390,168.660,165.970,165.870,51828.9219
2000-04-06,166.080,166.980,165.130,165.460,73031.6563
2000-04-07,165.490,167.060,165.380,166.450,73031.6563
2000-04-10,166.460,169.260,166.090,168.790,155486.7656
2000-04-11,168.790,170.040,168.420,169.560,71853.7266
2000-04-12,169.530,170.130,166.720,168.030,61252.3594
2000-04-13,168.070,168.540,167.610,167.960,80099.2422
2000-04-14,167.920,168.450,166.020,166.740,113081.2813
2000-04-17,165.410,166.960,164.090,165.070,128394.3672
2000-04-18,165.110,165.620,163.190,165.060,54184.7813
2000-04-19,164.930,165.840,164.740,165.800,81277.1719
2000-04-20,165.770,167.200,165.030,166.960,60074.4297
2000-04-21,167.130,167.380,166.590,166.890,81277.1719
2000-04-24,166.750,167.210,166.110,166.910,115437.1406
2000-04-25,166.910,168.410,165.930,168.230,81277.1719
2000-04-26,168.080,168.580,166.640,167.430,70675.7969
2000-04-27,167.500,168.020,166.680,167.330,75387.5234
2000-04-28,165.490,169.210,166.810,167.700,103657.8438
2000-05-01,167.490,169.550,167.340,168.950,110725.4219
2000-05-02,168.970,170.540,168.500,169.250,154308.8281
2000-05-03,169.240,170.850,169.040,170.410,91878.5391
2000-05-04,170.350,170.800,165.620,166.530,122504.7188
2000-05-05,166.600,166.870,164.640,165.810,96590.2578
2000-05-08,166.160,167.240,165.790,166.890,113081.2813
2000-05-09,166.950,168.020,166.440,167.260,142529.5313
2000-05-10,167.320,167.940,165.140,165.250,63608.2188
2000-05-11,165.080,166.260,162.240,163.060,56540.6406
2000-05-12,163.080,165.260,161.790,164.010,101301.9766
2000-05-15,165.390,165.980,164.470,164.420,42405.4805
2000-05-16,164.030,164.750,162.920,163.790,111903.3516
2000-05-17,163.770,164.290,162.910,163.400,137817.8125
2000-05-18,163.350,163.430,160.670,160.980,56540.6406
2000-05-19,160.780,161.330,158.250,159.150,83633.0313
2000-05-22,159.170,160.220,158.470,159.650,43583.4102
2000-05-23,159.850,160.070,156.920,157.110,45939.2695
2000-05-24,157.110,159.500,156.500,158.680,58896.5
2000-05-25,158.680,159.750,157.640,157.860,144885.3906
2000-05-26,157.820,159.600,157.820,159.600,153130.9063
2000-05-29,159.370,160.260,159.030,159.730,47117.1992
