GMT TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2000-01-03,1.44800,1.45170,1.44100,1.44680,172846.2031
2000-01-04,1.44630,1.45310,1.44410,1.45280,168337.1719
2000-01-05,1.45240,1.45560,1.44850,1.44980,147295.0156
2000-01-06,1.44940,1.45950,1.44880,1.45920,66132.4609
2000-01-07,1.45930,1.46140,1.45580,1.45570,120240.8281
2000-01-10,1.45620,1.45980,1.45250,1.45580,84168.5859
2000-01-11,1.45530,1.45880,1.45470,1.45640,150301.0469
2000-01-12,1.45670,1.45760,1.45170,1.45390,172846.2031
2000-01-13,1.45400,1.45410,1.44870,1.45030,129258.8906
2000-01-14,1.45050,1.45150,1.44530,1.44940,90180.625
2000-01-17,1.45010,1.45250,1.44870,1.44960,163828.1406
2000-01-18,1.44920,1.45160,1.44720,1.44960,63126.4375
2000-01-19,1.44990,1.45320,1.44840,1.45150,90180.625
2000-01-20,1.45160,1.45250,1.44350,1.44590,171343.1875
2000-01-21,1.44620,1.44880,1.43760,1.44070,160822.1094
2000-01-24,1.43990,1.44320,1.43790,1.44260,73647.5078
2000-01-25,1.44290,1.44410,1.43660,1.43650,60120.4141
2000-01-26,1.43590,1.44190,1.43590,1.43890,49599.3438
2000-01-27,1.43940,1.43970,1.43200,1.43480,141282.9844
2000-01-28,1.43400,1.45020,1.43250,1.44650,130761.9063
2000-01-31,1.44580,1.45140,1.44430,1.44680,79659.5547
2000-02-01,1.44730,1.45400,1.44440,1.44820,66132.4609
2000-02-02,1.44830,1.45450,1.43820,1.43760,124749.8594
2000-02-03,1.43580,1.44340,1.43550,1.44150,127755.8828
2000-02-04,1.44120,1.44720,1.43980,1.44000,78156.5391
2000-02-07,1.44000,1.44830,1.43690,1.44800,154810.0781
2000-02-08,1.44820,1.45040,1.44480,1.44420,193888.3438
2000-02-09,1.44380,1.44750,1.44130,1.44360,123246.8516
2000-02-10,1.44400,1.45330,1.44370,1.44870,130761.9063
2000-02-11,1.44760,1.45280,1.44500,1.44930,172846.2031
2000-02-14,1.44910,1.45770,1.44600,1.45680,112725.7813
2000-02-15,1.45660,1.45970,1.45520,1.45550,60120.4141
2000-02-16,1.45550,1.45810,1.44950,1.45250,169840.1719
2000-02-17,1.45260,1.45420,1.44980,1.44990,55611.3867
2000-02-18,1.45000,1.45170,1.44750,1.45020,138276.9531
2000-02-21,1.45070,1.45600,1.44870,1.45500,151804.0469
2000-02-22,1.45500,1.46370,1.45430,1.46120,106713.7422
2000-02-23,1.46180,1.46650,1.45980,1.45950,144289
2000-02-24,1.45930,1.46360,1.45380,1.45390,97695.6797
2000-02-25,1.45320,1.45650,1.44790,1.44700,148798.0313
2000-02-28,1.45070,1.45650,1.44770,1.45130,181864.2656
2000-02-29,1.45120,1.45450,1.44830,1.45030,82665.5703
2000-03-01,1.44940,1.45350,1.44370,1.44820,103707.7188
2000-03-02,1.44950,1.45850,1.44640,1.45630,126252.875
2000-03-03,1.45700,1.45800,1.45040,1.44980,157816.0938
2000-03-06,1.45080,1.45700,1.44900,1.45280,88677.6172
2000-03-07,1.45290,1.45530,1.45110,1.45420,190882.3281
2000-03-08,1.45470,1.46170,1.45470,1.45550,181864.2656
2000-03-09,1.45580,1.45860,1.45450,1.45630,121743.8438
2000-03-10,1.45640,1.45980,1.45380,1.45720,169840.1719
2000-03-13,1.45750,1.46200,1.45550,1.46100,153307.0625
2000-03-14,1.46120,1.46560,1.45950,1.46430,165331.1406
2000-03-15,1.46450,1.46950,1.46270,1.46690,114228.7891
2000-03-16,1.46700,1.47480,1.46550,1.47280,69138.4766
2000-03-17,1.47310,1.47720,1.46980,1.46920,193888.3438
2000-03-20,1.47010,1.47100,1.46770,1.46840,147295.0156
2000-03-21,1.46850,1.47240,1.46560,1.46890,183367.2656
2000-03-22,1.46920,1.47200,1.46720,1.46930,78156.5391
2000-03-23,1.46990,1.47650,1.46800,1.46850,94689.6563
2000-03-24,1.46890,1.46950,1.46200,1.46190,61623.4258
2000-03-27,1.46210,1.46350,1.45680,1.45750,91683.6328
2000-03-28,1.45750,1.45820,1.45230,1.45310,162325.125
2000-03-29,1.45330,1.45800,1.45230,1.45670,78156.5391
2000-03-30,1.45700,1.45950,1.45430,1.45380,184870.2813
2000-03-31,1.45460,1.45750,1.44890,1.44870,61623.4258
2000-04-03,1.44890,1.45450,1.44760,1.44990,141282.9844
2000-04-04,1.45000,1.45400,1.44750,1.45210,136773.9531
