GMT TIME,OPEN,HIGH,LOW,CLOSE,VOLUME
2000-01-03,102.150,102.210,101.360,101.480,59784
2000-01-04,101.450,103.320,101.450,103.250,20497
2000-01-05,103.250,104.480,102.830,104.300,49536
2000-01-06,104.190,105.560,103.920,105.260,25052
2000-01-07,105.170,105.890,104.900,105.310,56368
2000-01-10,105.120,105.550,104.370,105.060,34732
2000-01-11,105.010,106.310,105.010,105.930,41564
2000-01-12,105.950,106.360,105.550,105.900,31315
2000-01-13,105.820,106.230,105.450,106.060,71172
2000-01-14,106.100,106.590,105.490,105.850,21636
2000-01-17,105.830,105.880,104.640,104.870,18652
2000-01-18,104.830,105.740,104.290,105.690,71741
2000-01-19,105.670,106.090,105.180,105.280,74588
2000-01-20,105.270,105.710,105.160,105.390,55229
2000-01-21,105.410,105.520,104.450,104.760,45550
2000-01-24,105.240,105.850,104.530,105.570,38717
2000-01-25,105.580,106.040,105.530,106.000,75158
2000-01-26,106.020,106.300,105.300,105.620,40995
2000-01-27,105.610,105.900,104.690,105.110,55799
2000-01-28,105.010,107.250,104.580,107.070,24483
2000-01-31,107.060,107.520,106.620,107.330,20497
2000-02-01,107.350,107.920,107.060,107.860,42134
2000-02-02,107.870,109.050,107.610,108.120,46119
2000-02-03,108.070,108.770,107.150,107.500,66617
2000-02-04,107.570,108.030,107.070,107.160,74588
2000-02-07,107.340,108.820,107.230,108.610,28469
2000-02-08,108.590,109.680,108.590,109.470,72311
2000-02-09,109.450,109.750,108.560,108.820,66617
2000-02-10,108.750,109.260,108.300,109.170,62062
2000-02-11,109.160,109.750,108.690,108.790,47258
2000-02-14,109.040,109.050,108.070,108.900,58076
2000-02-15,108.930,109.320,108.480,109.150,19358
2000-02-16,109.200,109.650,108.910,109.440,55799
2000-02-17,109.440,110.660,109.200,110.500,62062
2000-02-18,110.520,111.250,110.300,110.890,75158
2000-02-21,110.910,111.450,110.390,111.250,0
2000-02-22,111.220,111.730,110.580,110.820,52382
2000-02-23,110.770,111.340,110.120,111.130,41564
2000-02-24,111.110,111.540,110.580,111.320,37009
2000-02-25,111.270,111.460,110.140,110.150,46689
2000-02-28,108.920,110.400,108.350,109.500,27899
2000-02-29,109.500,110.420,109.340,110.160,36440
2000-03-01,110.230,110.310,106.580,107.210,38148
2000-03-02,107.200,107.950,106.590,107.760,53521
2000-03-03,107.870,108.040,107.340,107.720,27899
2000-03-06,107.860,107.920,106.750,107.540,19928
2000-03-07,107.530,108.130,105.810,106.170,30746
2000-03-08,106.200,107.480,106.030,107.170,44411
2000-03-09,107.150,107.550,106.190,106.600,36440
2000-03-10,106.580,106.740,106.080,106.340,22205
2000-03-13,106.300,106.590,104.820,105.500,24483
2000-03-14,105.530,105.910,104.630,105.200,23913
2000-03-15,105.170,106.200,104.770,105.660,50674
2000-03-16,105.640,105.790,105.120,105.460,22205
2000-03-17,105.450,106.790,105.350,106.690,56938
2000-03-20,106.850,107.080,106.280,106.370,71741
2000-03-21,106.330,107.200,106.190,106.740,20497
2000-03-22,106.760,107.150,106.400,107.060,60923
2000-03-23,107.080,107.800,106.960,107.220,31885
2000-03-24,107.300,107.660,106.720,106.840,64909
2000-03-27,106.860,107.150,106.620,106.780,48966
2000-03-28,106.740,106.790,105.680,106.000,44411
2000-03-29,105.800,106.470,105.010,105.730,33593
2000-03-30,105.720,105.890,104.850,105.440,49536
2000-03-31,105.450,106.070,102.050,102.640,46119
2000-04-03,103.340,105.610,102.850,104.900,44411
2000-04-04,104.900,105.760,104.170,105.200,58646
2000-04-05,105.260,105.550,104.760,104.800,26191
2000-04-06,104.820,105.120,104.300,104.750,45550
2000-04-07,104.770,105.500,104.700,105.410,60354
2000-04-10,105.370,106.840,105.310,106.480,65478
2000-04-11,106.470,107.140,106.270,106.900,72880
2000-04-12,106.870,106.970,105.280,105.800,59215
2000-04-13,105.780,106.100,105.620,105.860,29607
2000-04-14,105.800,106.550,104.740,104.780,23344
2000-04-17,104.270,105.300,103.240,104.470,50674
2000-04-18,104.480,104.850,103.470,104.660,31885
2000-04-19,104.670,105.030,104.240,104.870,40995
2000-04-20,104.870,105.880,104.480,105.680,29038
2000-04-21,105.770,105.890,105.420,105.770,0
2000-04-24,105.800,106.000,105.110,105.680,53521
2000-04-25,105.690,106.330,105.220,106.270,67756
2000-04-26,106.290,106.750,105.520,106.220,26191
2000-04-27,106.250,106.600,105.870,106.380,31315
2000-04-28,106.360,108.310,106.360,108.070,42703
2000-05-01,107.820,109.060,107.720,108.760,19928
2000-05-02,108.750,108.940,108.260,108.460,59215
2000-05-03,108.450,109.470,108.360,109.120,44981
2000-05-04,109.080,109.620,107.690,107.960,67186
2000-05-05,108.010,108.720,107.260,108.470,52382
2000-05-08,108.750,109.200,108.300,108.900,66048
2000-05-09,108.920,109.650,108.600,109.210,68325
2000-05-10,109.250,109.610,108.520,109.470,67186
2000-05-11,109.380,110.030,108.080,108.480,50105
2000-05-12,108.400,109.050,107.700,108.190,51244
2000-05-15,108.650,109.580,108.600,109.250,69464
2000-05-16,109.070,109.900,108.790,109.670,65478
2000-05-17,109.670,110.020,109.040,109.230,26191
2000-05-18,109.200,109.450,108.460,108.540,50674
2000-05-19,108.470,108.850,106.350,106.970,48397
2000-05-22,107.110,107.450,106.570,107.120,19928
2000-05-23,107.140,107.650,106.420,106.430,71172
2000-05-24,106.410,107.950,106.410,107.720,66048
2000-05-25,107.720,107.970,107.280,107.350,27330
2000-05-26,107.330,107.820,106.580,107.100,35301
2000-05-29,107.020,107.390,106.690,107.010,0
2000-05-30,106.970,107.010,106.070,106.570,42134
2000-05-31,106.580,107.920,106.200,107.610,49536
2000-06-01,107.650,109.050,107.630,108.550,74588
2000-06-02,108.530,109.020,107.670,108.360,40425
2000-06-05,108.010,108.270,107.280,107.330,28469
2000-06-06,107.320,107.600,105.230,105.810,31885
2000-06-07,105.810,106.200,105.050,105.390,18789
2000-06-08,105.430,106.250,105.160,105.850,47827
2000-06-09,105.870,107.180,105.870,107.070,51244
2000-06-12,106.780,107.180,106.370,106.880,73450
2000-06-13,106.870,107.000,106.220,106.930,36440
2000-06-14,106.930,107.110,106.320,106.640,57507
2000-06-15,106.650,106.730,105.900,106.420,26191
2000-06-16,106.440,106.620,106.050,106.350,47827
2000-06-19,106.400,106.490,105.620,105.850,42703
2000-06-20,105.840,105.890,105.230,105.430,36440
2000-06-21,105.440,105.640,105.180,105.480,25622
2000-06-22,105.540,105.650,104.140,104.530,72311
2000-06-23,104.520,105.700,103.930,104.740,21067
2000-06-26,104.590,105.760,104.290,105.600,27330
2000-06-27,105.590,105.900,105.250,105.250,63201
2000-06-28,105.240,105.900,105.200,105.520,57507
2000-06-29,105.500,105.510,104.410,105.270,45550
2000-06-30,105.300,106.370,104.760,106.070,60923
